Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-25299,13386694,Casting timestamp to numeric data types is incorrect for non-UTC timezones,adeshrao,adeshrao,Major,Closed,Fixed,30/Jun/21 06:50,07/Nov/23 00:19,
Bug,HIVE-25298,13386577,LAG function get java.lang.ClassCastException: org.apache.hadoop.hive.common.type.HiveDecimal cannot be cast to org.apache.hadoop.hive.serde2.io.HiveDecimalWritable,,wenjunma003,Major,Closed,Not A Bug,29/Jun/21 17:59,16/Nov/22 13:50,
Bug,HIVE-25268,13384570,date_format udf returns wrong results for dates prior to 1900 if the local timezone is other than UTC,gupta.nikhil0007,gupta.nikhil0007,Major,Closed,Fixed,18/Jun/21 16:49,08/Sep/23 08:14,
Bug,HIVE-25170,13380660,Data error in constant propagation caused by wrong colExprMap generated in SemanticAnalyzer,zhangweilst,zhangweilst,Major,Closed,Fixed,27/May/21 03:56,24/May/23 12:36,
Bug,HIVE-25156,13380052,reduce数设置为2后，查出的数据减少一半,,lt1111,Major,Resolved,Auto Closed,24/May/21 09:03,28/May/22 10:31,28/May/21 00:00
Bug,HIVE-25093,13376733,date_format() UDF is returning output in UTC time zone only ,ashish-kumar-sharma,ashish-kumar-sharma,Minor,Closed,Fixed,05/May/21 07:11,29/Nov/22 10:02,
Bug,HIVE-25041,13373978,"During ""schematool --verbose -dbType derby -initSchema"" I'm getting ""utocommit on"" (with a missing ''a"").",,nyceyes,Blocker,Resolved,Not A Bug,21/Apr/21 01:53,24/Apr/24 10:29,
Bug,HIVE-24964,13368959,Backport HIVE-22453: Describe table unnecessarily fetches partitions,kecheung,kecheung,Minor,Closed,Fixed,31/Mar/21 21:08,02/Apr/23 19:48,
Bug,HIVE-24949,13368030,Fail to rename a partition with customized catalog,dengzh,yufeigu,Major,Closed,Fixed,26/Mar/21 22:58,17/Nov/22 08:48,
Bug,HIVE-24902,13365987,Incorrect result after fold CASE into COALESCE,nemon,nemon,Major,Closed,Fixed,18/Mar/21 04:03,17/Nov/22 08:48,
Bug,HIVE-24851,13362632,resources leak on exception in AvroGenericRecordReader constructor,losipiuk,losipiuk,Major,Closed,Fixed,05/Mar/21 15:35,21/Oct/22 06:54,
Bug,HIVE-24849,13362431,Create external table socket timeout when location has large number of files,glapark,maxmithun,Major,Closed,Fixed,04/Mar/21 23:21,17/Nov/22 08:48,
Bug,HIVE-24689,13354880,Changing file format (from ORC) is not supported for table xxx,,yanhw,Major,Resolved,Not A Problem,27/Jan/21 09:42,27/Jan/21 09:58,
Bug,HIVE-24653,13353088,Race condition between compactor marker generation and get splits,asinkovits,asinkovits,Minor,Closed,Fixed,18/Jan/21 14:34,09/Apr/22 07:03,
Bug,HIVE-24606,13351093,Multi-stage materialized CTEs can lose intermediate data,okumin,okumin,Major,Closed,Fixed,08/Jan/21 13:50,29/Mar/24 17:50,
Bug,HIVE-24579,13348853,Incorrect Result For Groupby With Limit,kkasa,nemon,Major,Closed,Fixed,04/Jan/21 03:40,17/Nov/22 08:48,
Bug,HIVE-24573,13348219,hive 3.1.2 drop table Sometimes it can't be deleted,nisarg_1995,zanmei,Blocker,Resolved,Fixed,29/Dec/20 03:58,26/Jan/22 13:12,
Bug,HIVE-24517,13345244,Add mapreduce workflow information to job configuration in MergeFileTask,ningsheng,ningsheng,Blocker,Resolved,Fixed,10/Dec/20 09:49,11/Dec/20 08:25,
Bug,HIVE-24467,13343691,ConditionalTask remove tasks that not selected exists thread safety problem,jshmchenxi,gjhkael,Major,Closed,Fixed,02/Dec/20 05:44,17/Nov/22 08:47,
Bug,HIVE-24342,13338228,isPathEncrypted should make sure resolved path also from HDFS,umamaheswararao,umamaheswararao,Major,Closed,Fixed,31/Oct/20 21:25,08/Mar/24 08:41,
Bug,HIVE-24319,13337643,unnecessary characters in hive-site.xml file in version 3.1.2,AhsanEht,Re-vanth,Blocker,Resolved,Fixed,28/Oct/20 11:05,28/Sep/22 11:43,
Bug,HIVE-24245,13334516,Vectorized PTF with count and distinct over partition producing incorrect results.,abstractdog,chiran54321,Critical,Closed,Fixed,08/Oct/20 21:38,17/Nov/22 08:48,
