Bug ID,Version,File,Priority
HIVE-16839,2.3.4,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/TestObjectStore.java,Major
HIVE-27631,3.1.3,shims/0.23/src/main/java/org/apache/hadoop/hive/shims/Hadoop23Shims.java,Major
HIVE-22033,2.3.5,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/security/TestTokenStoreDelegationTokenSecretManager.java,Major
HIVE-22033,2.3.5,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/TokenStoreDelegationTokenSecretManager.java,Major
HIVE-21778,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveProjectFilterPullUpConstantsRule.java,Major
HIVE-21778,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/ASTBuilder.java,Major
HIVE-21778,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/TypeConverter.java,Major
HIVE-22967,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/DagUtils.java,Minor
HIVE-22670,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedPrimitiveColumnReader.java,Major
HIVE-22453,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/ddl/table/info/desc/DescTableOperation.java,Minor
HIVE-24606,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,Major
HIVE-24579,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveAggregateSortLimitRule.java,Major
HIVE-24579,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java,Major
HIVE-24404,3.1.3,ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java,Major
HIVE-23704,3.1.2,service/src/java/org/apache/hive/service/cli/thrift/ThriftHttpServlet.java,Major
HIVE-17155,2.3.7,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,Minor
HIVE-27140,3.1.2,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java,Major
HIVE-26522,3.1.3,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/security/TestTokenStoreDelegationTokenSecretManager.java,Major
HIVE-26184,3.1.3,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFMkCollectionEvaluator.java,Major
HIVE-26114,3.1.2,service/src/java/org/apache/hive/service/cli/operation/HiveCommandOperation.java,Major
HIVE-26114,3.1.2,service/src/test/org/apache/hive/service/cli/operation/TestCommandWithSpace.java,Major
HIVE-25561,2.3.8,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezProcessor.java,Major
HIVE-27960,2.3.9,ql/src/java/org/apache/hadoop/hive/ql/exec/Registry.java,Major
HIVE-27675,3.1.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,Major
HIVE-27675,3.1.0,hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/tool/ZooKeeperStorage.java,Major
HIVE-27675,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/security/ZooKeeperTokenStoreTestBase.java,Major
HIVE-27675,3.1.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestRestrictedList.java,Major
HIVE-27675,3.1.0,itests/hive-unit/src/test/java/org/apache/hive/service/server/InformationSchemaWithPrivilegeTestBase.java,Major
HIVE-27675,3.1.0,jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java,Major
